dist,corr,no_jobs,no_machines,problem,corv,objective,type,stopping_criterion,budget,model,inst_n,instance,instance_features,id
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",1,erlang_random_10_5_01.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",2,erlang_random_10_5_02.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",3,erlang_random_10_5_03.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",4,erlang_random_10_5_04.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",5,erlang_random_10_5_05.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",6,erlang_random_10_5_06.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",7,erlang_random_10_5_07.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",8,erlang_random_10_5_08.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",9,erlang_random_10_5_09.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOIDLE,TIME,high,"FLOWTIME,NOIDLE,TIME,high",10,erlang_random_10_5_10.txt,"flowshop,erlang,random,10,5",1
erlang,random,10,5,flowshop,0,FLOWTIME,NOWAIT,TIME,high,"FLOWTIME,NOWAIT,TIME,high",1,erlang_random_10_5_01.txt,"flowshop,erlang,random,10,5",3
erlang,random,10,5,flowshop,0,FLOWTIME,NOWAIT,TIME,high,"FLOWTIME,NOWAIT,TIME,high",2,erlang_random_10_5_02.txt,"flowshop,erlang,random,10,5",3
erlang,random,10,5,flowshop,0,FLOWTIME,NOWAIT,TIME,high,"FLOWTIME,NOWAIT,TIME,high",3,erlang_random_10_5_03.txt,"flowshop,erlang,random,10,5",3
erlang,random,10,5,flowshop,0,FLOWTIME,NOWAIT,TIME,high,"FLOWTIME,NOWAIT,TIME,high",4,erlang_random_10_5_04.txt,"flowshop,erlang,random,10,5",3
