dist,corr,no_jobs,no_machines,problem,type,objective,instance,cost,time,no_evals
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_01.txt,10999,90000,241575904
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_02.txt,5741,90000,243186461
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_03.txt,7570,90000,242402521
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_04.txt,7673,90000,243442741
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_05.txt,4731,90000,242951761
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_06.txt,5161,90000,242994894
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_07.txt,6180,90000,243029317
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_08.txt,7306,90000,243349030
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_09.txt,7216,90000,242452857
exponential,random,10,5,flowshop,NOIDLE,FLOWTIME,exponential_random_10_5_10.txt,5483,90000,242949850
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_01.txt,1325,90000,247611615
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_02.txt,795,90000,248469395
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_03.txt,908,90000,249001924
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_04.txt,1173,90000,247805213
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_05.txt,695,90000,248624401
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_06.txt,708,90000,249636581
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_07.txt,827,90000,247089560
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_08.txt,863,90000,248660509
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_09.txt,897,90000,249541001
exponential,random,10,5,flowshop,NOIDLE,MAKESPAN,exponential_random_10_5_10.txt,890,90000,248189995
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_01.txt,5412,90000,504017880
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_02.txt,4614,90000,511731569
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_03.txt,5159,90000,501061391
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_04.txt,7101,90000,504658148
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_05.txt,3911,90000,495690946
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_06.txt,4958,90000,491130106
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_07.txt,4499,90000,490266826
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_08.txt,4517,90000,506108193
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_09.txt,5041,90000,507380912
exponential,random,10,5,flowshop,NOWAIT,FLOWTIME,exponential_random_10_5_10.txt,4677,90000,512946399
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_01.txt,1071,90000,521491346
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_02.txt,906,90000,528759350
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_03.txt,1129,90000,528905681
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_04.txt,1327,90001,542627585
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_05.txt,673,90000,548147584
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_06.txt,874,90000,521907135
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_07.txt,839,90000,519835542
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_08.txt,885,90000,530315754
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_09.txt,921,90000,538172223
exponential,random,10,5,flowshop,NOWAIT,MAKESPAN,exponential_random_10_5_10.txt,854,90000,540629170
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_01.txt,4984,90000,325029674
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_02.txt,4008,90000,325824206
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_03.txt,4815,90000,325342439
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_04.txt,6421,90000,317226838
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_05.txt,3477,90000,318491902
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_06.txt,4473,90000,334913692
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_07.txt,4214,90000,323926317
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_08.txt,4188,90000,327224215
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_09.txt,4647,90000,330518656
exponential,random,10,5,flowshop,PERM,FLOWTIME,exponential_random_10_5_10.txt,4091,90000,329110012
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_01.txt,898,90000,599979874
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_02.txt,768,90000,602695702
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_03.txt,849,90000,629828674
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_04.txt,1102,90000,577911865
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_05.txt,559,90000,614961099
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_06.txt,708,90000,628799913
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_07.txt,746,90000,635986596
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_08.txt,753,90000,598563556
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_09.txt,763,90000,593487631
exponential,random,10,5,flowshop,PERM,MAKESPAN,exponential_random_10_5_10.txt,695,90000,575873270
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_01.txt,15321,180000,307797016
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_02.txt,14226,180000,306254086
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_03.txt,12297,180000,309412783
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_04.txt,13942,180000,311192889
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_05.txt,13599,180000,306110391
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_06.txt,17642,180000,308534240
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_07.txt,14294,180000,307951470
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_08.txt,12577,180000,306487317
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_09.txt,10299,180000,308920859
exponential,random,10,10,flowshop,NOIDLE,FLOWTIME,exponential_random_10_10_10.txt,15352,180000,308942221
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_01.txt,1707,180000,311658952
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_02.txt,1564,180000,309062030
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_03.txt,1408,180000,312170022
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_04.txt,1483,180000,309670640
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_05.txt,1771,180000,313949221
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_06.txt,1888,180000,310748474
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_07.txt,1560,180000,304207489
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_08.txt,1657,180000,308647939
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_09.txt,1219,180000,311427929
exponential,random,10,10,flowshop,NOIDLE,MAKESPAN,exponential_random_10_10_10.txt,1748,180000,315873629
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_01.txt,8719,180000,981911286
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_02.txt,8907,180000,1016197145
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_03.txt,9287,180000,962515619
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_04.txt,8626,180000,979152849
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_05.txt,9045,180000,978531789
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_06.txt,8399,180000,998196745
